AWS tag,Billing code,Pillar
MS-IT,MGMT:1026-MS-IT,Management
AMP-CHAD,RG:AMP:6212-AMP-CHAD-2020,Total Resource Management
AMP,RG:AMP:2103-AMP-CORE,Total Resource Management
ASDB,RG:4339-CRP-ASDB-4,Total Resource Management
BDGIS,MGMT:1026-MS-IT,Management
NEITI,RG:3300-FORD-2020,Total Resource Management
SEEDS,ESD:GATES-SEEDS:4900-ESD-GATES-SEEDS,Effective Service Delivery
TCDI,ESD:GATES-TOBACCO:4700-ESD-GATES-TOBACCO,Effective Service Delivery
VIFAA,ESD:GATES-FERTILIZER:4500-ESD-GATES-FERTILIZER-DAS,Effective Service Delivery
VIFAACOVID,ESD:GATES-FERTILIZER:4505-FERTILIZER-COVID,Effective Service Delivery
YALI,ESD:4604-YALI-HOSTING,Effective Service Delivery
AMP-CORE,RG:AMP:2103-AMP-CORE,Total Resource Management
CASHEW,ESD:4800- PRO-Cashew,Effective Service Delivery
OC,BD:BD-RG:1131-BD-RG-OC,Total Resource Management
OCMAKU,BD:BD-RG:1131-BD-RG-OC,Total Resource Management
OCPK,BD:BD-RG:1131-BD-RG-OC,Total Resource Management
